Fecha,Temp_Max_Real,Humidity_Real,Wind_Speed_Real,Pressure_Real
2023-05-09,18.0,81.01291666666667,20.372,1010.7809751666667
2023-05-10,19.0,74.05187500000001,22.224,1012.4177303333335
2023-05-11,18.0,71.20166666666667,20.372,1015.9381649375
2023-05-12,13.0,84.57541666666667,24.076,1022.5416254375
2023-05-13,13.0,83.51875,16.668,1026.2031596250001
2023-05-14,20.0,72.183125,14.816,1020.5097914375001
2023-05-15,16.0,62.991875,24.076,1020.0864926875
2023-05-16,17.0,61.43875,18.52,1024.9967581875
2023-05-17,18.0,70.18229166666667,22.224,1028.4678079375
2023-05-18,18.0,66.13125000000001,18.52,1028.5524676875
2023-05-19,18.0,69.33437500000001,20.372,1027.4942208125
2023-05-20,18.0,70.81,22.224,1026.07617
2023-05-21,18.0,62.92041666666666,24.076,1021.546873375
2023-05-22,19.0,61.34729166666667,20.372,1021.3140590625
2023-05-23,18.0,66.22354166666666,16.668,1026.6899531875
2023-05-24,20.0,61.766875,18.52,1025.864520625
2023-05-25,17.0,68.95625,24.076,1029.6742093750001
2023-05-26,18.0,65.49020833333334,27.78,1031.5155589375
2023-05-27,19.0,70.01916666666666,22.224,1026.753448
2023-05-28,21.0,58.58291666666667,31.484,1023.7268619375001
2023-05-29,17.0,61.62375,31.484,1027.9810143749999
2023-05-30,15.0,70.004375,25.928,1029.8223639375
2023-05-31,18.0,76.78875000000001,24.076,1027.2825714375
2023-06-01,18.0,70.21083333333333,24.076,1025.7163660625
2023-06-02,17.0,61.05520833333333,24.076,1024.721614
2023-06-03,21.0,68.58627906976744,25.928,1023.6899463488372
2023-06-04,21.0,64.67395833333333,25.928,1024.0655009375
2023-06-05,17.0,68.16270833333333,20.372,1024.6581191875
2023-06-06,16.0,68.18270833333334,24.076,1023.8115216875
2023-06-07,20.0,70.94520833333333,25.928,1022.2664812500001
2023-06-08,21.0,67.29416666666667,27.78,1018.8800912500001
2023-06-09,24.0,69.32958333333333,29.632,1014.3296296875001
2023-06-10,29.0,60.535,31.484,1013.419537375
2023-06-11,31.0,58.29909090909091,25.928,1013.7004538181819
2023-06-12,28.0,66.05354166666667,24.076,1014.3719595624999
2023-06-13,27.0,49.98229166666667,35.188,1014.4354543750001
2023-06-14,27.0,54.561914893617015,25.928,1017.6246051702128
2023-06-15,27.0,56.0625,25.928,1020.276977125
2023-06-16,27.0,51.21541666666667,25.928,1019.4727095
2023-06-17,24.0,60.34645833333334,20.372,1014.3296296875001
2023-06-18,27.0,77.54916666666666,20.372,1009.1936048541667
2023-06-19,25.0,65.55125,22.224,1010.4423361666667
2023-06-20,24.0,72.5525,24.076,1008.5092718750001
2023-06-21,26.0,62.513958333333335,20.372,1015.705350625
